2048,528,115,96,
4096,438,46,68,
8192,418,53,85,
16384,601,94,105,
32768,367,102,122,
65536,820,171,293,
131072,2195,254,323,
262144,1477,282,465,
524288,2555,334,786,
1048576,4937,388,1564,
